"","country","date","continent","population","vaccines","total_vaccinations_per_hundred","value","n_tweets"
"193","Albania",2021-02-14,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.05,1.96428571428571,1
"194","Albania",2021-02-15,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.06,0,1
"195","Albania",2021-02-16,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.06,0,1
"196","Albania",2021-02-17,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.06,0,1
"197","Albania",2021-02-18,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.11,0,1
"198","Albania",2021-02-19,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.15,0,1
"199","Albania",2021-02-20,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.16,-0.5,1
"200","Albania",2021-02-21,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.18,0,1
"201","Albania",2021-02-22,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.23,0,1
"202","Albania",2021-02-23,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.26,0,1
"203","Albania",2021-02-24,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.3,0,1
"204","Albania",2021-02-25,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.35,0,1
"205","Albania",2021-02-26,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.39,0,1
"206","Albania",2021-02-27,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.42,0,1
"207","Albania",2021-02-28,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.46,0,1
"208","Albania",2021-03-01,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.5,-1,1
"209","Albania",2021-03-02,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.53,0,1
"210","Albania",2021-03-03,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.55,0,1
"211","Albania",2021-03-04,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.58,0,1
"212","Albania",2021-03-05,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.61,0,1
"213","Albania",2021-03-06,"Europe",2877239,"Pfizer/BioNTech, Sinovac",0.64,0,1
